,Title,Published_date,Views,Likes,Dislikes,Comments,Month
69,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,76668,1999,0,122,Jun
70,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,10168,366,0,21,May
71,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,161688,3831,0,125,May
72,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,178571,4800,0,255,May
73,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,57620,1887,0,54,May
74,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,44265,1338,0,384,May
75,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,33239,807,0,80,May
76,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,36517,874,0,30,May
77,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,50428,1279,0,40,May
78,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,10231,340,0,27,Apr
79,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,44928,1052,0,52,Apr
80,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,38312,1079,0,34,Apr
81,Google Business Intelligence Professional Certification Review,2023-04-18,36252,1055,0,67,Apr
82,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,135856,3943,0,372,Apr
83,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,39430,1092,0,64,Apr
84,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,37921,1754,0,86,Mar
85,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,28453,738,0,29,Mar
86,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,127371,4044,0,202,Mar
87,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,44406,1099,0,41,Mar
88,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11136,398,0,33,Mar
89,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,85307,1596,0,59,Feb
90,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,37708,912,0,62,Feb
91,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,436568,8280,0,224,Feb
92,FREE Data Analyst Bootcamp!!,2023-02-07,827920,28090,0,1272,Feb
93,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,925743,33046,0,961,Jan
94,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17305,628,0,23,Jan
95,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,35175,1324,0,118,Jan
96,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,21786,690,0,44,Jan
97,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,45718,1365,0,36,Jan
98,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,59062,2854,0,222,Jan
99,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,48852,1079,0,62,Jan
100,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,6066,200,0,12,Dec
101,Why I Quit my 125k Analytics Job,2022-12-20,155042,8673,0,867,Dec
102,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5039,168,0,16,Dec
103,Converting Data Types in Python | Python for Beginners,2022-12-13,26852,801,0,25,Dec
104,Functions in Python | Python for Beginners,2022-12-06,33287,949,0,27,Dec
105,While Loops in Python | Python for Beginners,2022-11-29,31335,967,0,18,Nov
106,For Loops in Python | Python for Beginners,2022-11-22,33729,879,0,21,Nov
107,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6252,202,0,18,Nov
108,If Else Statements in Python | Python for Beginners,2022-11-15,29384,884,0,24,Nov
109,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,31497,917,0,18,Nov
110,Data Types in Python | Python for Beginners,2022-11-01,64158,1647,0,55,Nov
111,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5684,183,0,11,Oct
112,Variables in Python | Python for Beginners,2022-10-25,66397,1630,0,51,Oct
113,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5237,245,0,23,Oct
114,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,212459,3628,0,105,Oct
115,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,9287,329,0,21,Oct
116,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,7189,323,0,31,Oct
117,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,15207,672,0,84,Oct
118,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6675,213,0,14,Oct
119,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,288744,5724,0,333,Sep
120,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,60892,1643,0,47,Sep
121,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,52787,2022,0,99,Sep
122,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,57265,1445,0,39,Sep
123,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,88967,1621,0,44,Aug
124,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,76067,2062,0,76,Aug
125,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,6995,247,0,15,Aug
126,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,24135,611,0,122,Aug
127,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,110656,2092,0,64,Aug
128,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,18443,812,0,72,Aug
129,250k Subscriber Live Stream!!,2022-07-26,4159,157,0,11,Jul
130,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,112331,2543,0,116,Jul
131,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21893,623,0,126,Jul
132,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,133790,2636,0,74,Jul
133,Machine Learning Specialization on Coursera | Review,2022-07-05,22379,727,0,59,Jul
134,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,31242,835,0,96,Jun
135,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,45307,1648,0,134,Jun
136,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,190327,3363,0,71,Jun
137,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,49097,884,0,78,Jun
138,How to use a Public API | Using a Public API with Python,2022-05-31,29159,1036,0,62,May
139,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,273511,5206,0,209,May
140,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,115395,2486,0,264,May
141,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,33107,1677,0,157,May
142,SQL vs NoSQL | What's the Difference?,2022-05-03,55633,1722,0,66,May
